code,nom
55037,Rougemont
86042,Rouyn-Noranda
48015,Roxton
48010,Roxton Falls
47047,Roxton Pond
85105,Rémigny
95010,Sacré-Coeur
31130,Sacré-Coeur-de-Jésus
94068,Saguenay
17015,Saint-Adalbert
35015,Saint-Adelphe
77065,Saint-Adolphe-d'Howard
40010,Saint-Adrien
31095,Saint-Adrien-d'Irlande
33045,Saint-Agapit
53015,Saint-Aimé
15030,Saint-Aimé-des-Lacs
79022,Saint-Aimé-du-Lac-des-Îles
34097,Saint-Alban
39085,Saint-Albert
56055,Saint-Alexandre
14035,Saint-Alexandre-de-Kamouraska
63023,Saint-Alexis
51065,Saint-Alexis-des-Monts
27015,Saint-Alfred
62025,Saint-Alphonse-Rodriguez
47010,Saint-Alphonse-de-Granby
59015,Saint-Amable
94255,Saint-Ambroise
61040,Saint-Ambroise-de-Kildare
10030,Saint-Anaclet-de-Lessard
80027,Saint-André-Avellin
76008,Saint-André-d'Argenteuil
14040,Saint-André-de-Kamouraska
91010,Saint-André-du-Lac-Saint-Jean
69070,Saint-Anicet
19062,Saint-Anselme
33095,Saint-Antoine-de-Tilly
18070,Saint-Antoine-de-l'Isle-aux-Grues
57075,Saint-Antoine-sur-Richelieu
12015,Saint-Antonin
33090,Saint-Apollinaire
46017,Saint-Armand
12065,Saint-Arsène
13100,Saint-Athanase
17055,Saint-Aubert
92005,Saint-Augustin
98012,Saint-Augustin
23072,Saint-Augustin-de-Desmaures
30005,Saint-Augustin-de-Woburn
51025,Saint-Barnabé
54105,Saint-Barnabé-Sud
52055,Saint-Barthélemy
34038,Saint-Basile
57020,Saint-Basile-le-Grand
28025,Saint-Benjamin
29100,Saint-Benoît-Labre
45080,Saint-Benoît-du-Lac
26055,Saint-Bernard
68005,Saint-Bernard-de-Lacolle
54115,Saint-Bernard-de-Michaudville
56065,Saint-Blaise-sur-Richelieu
49125,Saint-Bonaventure
51085,Saint-Boniface
93030,Saint-Bruno
85045,Saint-Bruno-de-Guigues
14010,Saint-Bruno-de-Kamouraska
58037,Saint-Bruno-de-Montarville
63055,Saint-Calixte
40025,Saint-Camille
28070,Saint-Camille-de-Lellis
34078,Saint-Casimir
61035,Saint-Charles-Borromée
19097,Saint-Charles-de-Bellechasse
94260,Saint-Charles-de-Bourget
57057,Saint-Charles-sur-Richelieu
39060,Saint-Christophe-d'Arthabaska
69017,Saint-Chrysostome
42100,Saint-Claude
71045,Saint-Clet
11005,Saint-Clément
52075,Saint-Cléophas-de-Brandon
75005,Saint-Colomban
67035,Saint-Constant
52062,Saint-Cuthbert
12005,Saint-Cyprien
